"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","792","Mock API","Google Chrome","2026-09-14","passed","2026-09-14","","net.spec.ts","",""
"","2407","Click Radio Button menu using nth locator","Google Chrome","2026-09-10","passed","2026-09-10","","demo1.spec.ts","",""
"","22732","Double Click","Google Chrome","2026-09-10","passed","2026-09-10","","mouseactions.spec.ts","",""
"","1005","Simulate API failure","Google Chrome","2026-09-14","passed","2026-09-14","","net1.spec.ts","",""
"","8593","Select Check Box menu","Google Chrome","2026-09-14","passed","2026-09-14","","fram.spec.ts","",""
"","3713","first locator","Google Chrome","2026-09-10","passed","2026-09-10","","special_locators.spec.ts","",""
"","5429","Register without password","Google Chrome","2026-09-14","passed","2026-09-14","","demo2.spec.ts","",""
"","2722","Verify second row contains Alden in Web Tables","Google Chrome","2026-09-10","passed","2026-09-10","","demo1.spec.ts","",""
"","6123","Read text from Frame 2","Google Chrome","2026-09-15","passed","2026-09-15","","frames.spec.ts","",""
"","24048","Fill user details using placeholder locators","Google Chrome","2026-09-10","passed","2026-09-10","","demo1.spec.ts","",""
"","5364","Update user","Google Chrome","2026-09-14","passed","2026-09-14","","demo2.spec.ts","",""
"","5409","Register user","Google Chrome","2026-09-14","passed","2026-09-14","","demo2.spec.ts","",""
"","4556","Monitor API response","Google Chrome","2026-09-14","passed","2026-09-14","","net1.spec.ts","",""
"","5446","Delete user","Google Chrome","2026-09-15","passed","2026-09-15","","api.spec.ts","",""
"","19452","has title4","Google Chrome","2026-09-10","failed","2026-09-10","","demo.spec.ts","",""
"","4335","has title9","Google Chrome","2026-09-10","passed","2026-09-10","","demo.spec.ts","",""
"","5544","last locator","Google Chrome","2026-09-10","passed","2026-09-10","","special_locators.spec.ts","",""
"","1461","Mock users API","Google Chrome","2026-09-14","passed","2026-09-14","","net1.spec.ts","",""
"","22859","Click the first item from Elements menu","Google Chrome","2026-09-10","passed","2026-09-10","","demo1.spec.ts","",""
"","32445","using or()","Google Chrome","2026-09-10","passed","2026-09-10","","special_locators.spec.ts","",""
"","2600","has title","Google Chrome","2026-09-15","passed","2026-09-15","","example.spec.ts","",""
"","10844","Right Click","Google Chrome","2026-09-11","passed","2026-09-11","","mouse.spec.ts","",""
"","16906","has title3","Google Chrome","2026-09-10","passed","2026-09-10","","demo.spec.ts","",""
"","7446","Read text from both frames","Google Chrome","2026-09-14","passed","2026-09-14","","fram.spec.ts","",""
